Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Amsonia illustris;3 ft;3 ft;3-4 ft;5-9;Blue;Shining bluestar;Moist;Full Sun to Partial Shade;May; ;Naturalizing,Rain Garden,Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Bog; ;Green; ; ;Fall,Spring; ;
Amsonia tabernaemontani 'Grande';2-3 ft;2-3 ft;2 ft;5-9;Blue;Bluestar;Moist;Full Sun to Partial Shade;June,May; ;Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog; ;Green; ; ; ; ;
Amsonia tabernemontana 'Blue Ice';15 in;2 ft; ;4-9;Blue;Dwarf blue star;Moist;Full Sun;May,June;Pollinators;Long Blooming,Drought Tolerant,Bog; ;Green;Medium; ;Fall,Summer,Spring; ;
Andropogon gerardii;5-7 ft;2-3 ft; ;3-8;Green, Tan;Big bluestem;Moist to Dry;Full Sun;August; ;Drought Tolerant,Dried Flower;Deer Resistant;Blue-Green; ;Medium; ; ;
Andropogon virginicus;2-3 ft;2-3 ft;36-48 in;5-8;Green, Tan;Broom sedge;Moist to Dry;Full Sun;September; ;Naturalizing; ; ; ;High; ; ;
Asclepias incarnata;4-5 ft;2-3 ft;3-4 ft;3-8;Pink, Rose;Swamp milkweed;Wet to Moist;Full Sun to Partial Shade;June,July;Butterflies,Songbirds,Pollinators;Naturalizing,Fragrant,Clay Soil;Deer Resistant;Green;Fast;Medium; ; ;
Aster novae-angliae;3-6 ft;2-3 ft;4-6 ft;3-8;Violet;New England aster;Moist to Wet;Full Sun to Partial Shade;September,August,October;Butterflies;Naturalizing,East-Coast Native,Rain Garden,Cut Flower,Clay Soil; ;Green;Fast;Medium;Summer,Spring,Fall; ;
Aster novi-belgii;3-4 ft;3 ft;4-6 ft;4-8;Purple;New York aster;Moist to Wet;Full Sun to Partial Shade;October,September,August;Butterflies;Cut Flower;Deer Resistant;Green; ;Medium; ; ;
Aster puniceus;3-6 ft;2-3 ft;4-6 ft;3-8;Light Blue;Purple stemmed aster;Wet to Moist;Full Sun to Partial Shade;September,August,October;Butterflies;Rain Garden,Naturalizing,East-Coast Native,Cut Flower,Bog; ;Green;Medium;Medium; ; ;
Boltonia asteroides;3-5 ft;2-4 ft;4-6 ft;3-9;White;Thousand-flowered aster;Wet to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;Long Blooming,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Carex bromoides;1 ft;12-18 Inches;1-2 ft;4-8;Green, Tan;Brome-like sedge;Moist to Wet;Full Sun to Partial Shade;July,June,May;Pollinators,Songbirds;Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Clay Soil,Bog;Deer Resistant;Green;Fast; ;Spring; ;
Carex comosa;2-3 Feet;18-36 in;18-24 in;4-8;Brown, Green;Bristly sedge, Longhair sedge;Wet to Moist;Full Sun to Partial Shade;July,August; ; ; ; ; ; ; ; ;
Carex crinita;3-4 ft;3-4 ft;6-8 ft;3-9;Blue, Green;Fringed sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ; ;Blue-Green; ; ; ; ;
