Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Agastache foeniculum;2-4 ft;2-3 ft; ;4-8;Lavender;Anise Hyssop;Dry to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators,Hummingbirds;Interesting Foliage,Fragrant,East-Coast Native,Drought Tolerant,Naturalizing;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Allium cernuum;1-2 ft;8-10 in; ;4-8;Pink;Nodding onion;Moist;Full Sun to Partial Shade;June,May;Pollinators,Hummingbirds,Butterflies;Dried Flower,Cut Flower,Container,Rock Garden,Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Medium; ;Spring;Cd-Cadmium;
Amsonia hubrichtii;4-5 ft;2-3 ft; ;5-9;Blue;Thread leafed bluestar;Moist;Full Sun to Partial Shade;July,June; ;Rock Garden,Drought Tolerant,Cut Flower;Deer Resistant;Green; ; ; ; ;
Amsonia illustris;3 ft;3 ft;3-4 ft;5-9;Blue;Shining bluestar;Moist;Full Sun to Partial Shade;May; ;Naturalizing,Rain Garden,Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Bog; ;Green; ; ;Fall,Spring; ;
Amsonia tabernaemontana;2-3 ft;2-3 ft; ;4-9;Blue;Bluestar, Blue Dogbane;Moist;Full Sun to Partial Shade;June,May; ;Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Amsonia tabernaemontana v. salicifolia;3 ft;2-3 ft; ;3-9;Blue;Willow leaf Bluestar;Moist;Partial Shade to Full Sun;June,May;Butterflies;Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Amsonia tabernaemontani 'Grande';2-3 ft;2-3 ft;2 ft;5-9;Blue;Bluestar;Moist;Full Sun to Partial Shade;June,May; ;Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog; ;Green; ; ; ; ;
Amsonia tabernemontana 'Blue Ice';15 in;2 ft; ;4-9;Blue;Dwarf blue star;Moist;Full Sun;May,June;Pollinators;Long Blooming,Drought Tolerant,Bog; ;Green;Medium; ;Fall,Summer,Spring; ;
Andropogon gerardii;5-7 ft;2-3 ft; ;3-8;Green, Tan;Big bluestem;Moist to Dry;Full Sun;August; ;Drought Tolerant,Dried Flower;Deer Resistant;Blue-Green; ;Medium; ; ;
Andropogon virginicus;2-3 ft;2-3 ft;36-48 in;5-8;Green, Tan;Broom sedge;Moist to Dry;Full Sun;September; ;Naturalizing; ; ; ;High; ; ;
