Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Agastache foeniculum;2-4 ft;2-3 ft; ;4-8;Lavender;Anise Hyssop;Dry to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators,Hummingbirds;Interesting Foliage,Fragrant,East-Coast Native,Drought Tolerant,Naturalizing;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Allium cernuum;1-2 ft;8-10 in; ;4-8;Pink;Nodding onion;Moist;Full Sun to Partial Shade;June,May;Pollinators,Hummingbirds,Butterflies;Dried Flower,Cut Flower,Container,Rock Garden,Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Medium; ;Spring;Cd-Cadmium;
Amorpha canascens;1-3 ft;1-3 ft;1-3 ft;2-9;Purple Blue;Lead plant;Well-Drained;Full Sun;July,June;Pollinators,Butterflies;Naturalizing,Interesting Foliage,Drought Tolerant; ;Gray-Green;Slow; ;Summer,Spring; ;
Andropogon gerardii;5-7 ft;2-3 ft; ;3-8;Green, Tan;Big bluestem;Moist to Dry;Full Sun;August; ;Drought Tolerant,Dried Flower;Deer Resistant;Blue-Green; ;Medium; ; ;
Andropogon virginicus;2-3 ft;2-3 ft;36-48 in;5-8;Green, Tan;Broom sedge;Moist to Dry;Full Sun;September; ;Naturalizing; ; ; ;High; ; ;
Anemone virginiana;3 ft;1-2 ft;18-24 in;3-8;White;Thimble weed;Moist;Full Sun,Shade,Partial Shade;June,May; ;Drought Tolerant;Deer Resistant;Green; ; ; ; ;
Antennaria neglecta;4-8 in; ; ;3-8;White;Field pussytoes;Moist to Dry;Full Sun to Partial Shade;June,May,April;Butterflies,Pollinators;Clay Soil; ;Green;Slow;Medium;Summer,Spring,Winter,Fall; ;
Antennaria plantaginifolia;6-12 in;8-18 in;12-18 in;3-8;White;Plantain-leaved pussytoes;Dry;Full Sun;June,May,April;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Dried Flower,Rock Garden,Naturalizing,Ground Cover; ;Green;Slow;Medium;Summer,Spring; ;
Aquilegia canadensis;2 ft;1-2 ft; ;3-8;Red;Wild columbine;Moist;Full Sun to Full Shade;May,April;Hummingbirds;Naturalizing,Cut Flower;Deer Resistant;Green; ;High;Summer,Spring; ;
Asclepias incarnata;4-5 ft;2-3 ft;3-4 ft;3-8;Pink, Rose;Swamp milkweed;Wet to Moist;Full Sun to Partial Shade;June,July;Butterflies,Songbirds,Pollinators;Naturalizing,Fragrant,Clay Soil;Deer Resistant;Green;Fast;Medium; ; ;
