Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Achillea filipendulina 'Coronation Gold';30-36 in;18-24 in;24-36 in;3 - 8;Bright Yellow;Coronation Gold yarrow;Dry to Moist;Full Sun;September,August,July,June;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Dried Flower,Cut Flower,Rock Garden,Reblooming,Long Blooming;Deer Resistant;Gray-Green;Medium;High;Spring,Summer; ;
Amsonia hubrichtii;4-5 ft;2-3 ft; ;5-9;Blue;Thread leafed bluestar;Moist;Full Sun to Partial Shade;July,June; ;Rock Garden,Drought Tolerant,Cut Flower;Deer Resistant;Green; ; ; ; ;
Amsonia illustris;3 ft;3 ft;3-4 ft;5-9;Blue;Shining bluestar;Moist;Full Sun to Partial Shade;May; ;Naturalizing,Rain Garden,Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Bog; ;Green; ; ;Fall,Spring; ;
Amsonia tabernaemontana;2-3 ft;2-3 ft; ;4-9;Blue;Bluestar, Blue Dogbane;Moist;Full Sun to Partial Shade;June,May; ;Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Amsonia tabernaemontana v. salicifolia;3 ft;2-3 ft; ;3-9;Blue;Willow leaf Bluestar;Moist;Partial Shade to Full Sun;June,May;Butterflies;Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Andropogon gerardii;5-7 ft;2-3 ft; ;3-8;Green, Tan;Big bluestem;Moist to Dry;Full Sun;August; ;Drought Tolerant,Dried Flower;Deer Resistant;Blue-Green; ;Medium; ; ;
Andropogon virginicus;2-3 ft;2-3 ft;36-48 in;5-8;Green, Tan;Broom sedge;Moist to Dry;Full Sun;September; ;Naturalizing; ; ; ;High; ; ;
Aquilegia canadensis;2 ft;1-2 ft; ;3-8;Red;Wild columbine;Moist;Full Sun to Full Shade;May,April;Hummingbirds;Naturalizing,Cut Flower;Deer Resistant;Green; ;High;Summer,Spring; ;
Asclepias incarnata;4-5 ft;2-3 ft;3-4 ft;3-8;Pink, Rose;Swamp milkweed;Wet to Moist;Full Sun to Partial Shade;June,July;Butterflies,Songbirds,Pollinators;Naturalizing,Fragrant,Clay Soil;Deer Resistant;Green;Fast;Medium; ; ;
Asclepias incarnata 'Ice Ballet';3-4 ft;2-3 in;3-4 ft;3-9;White;Swamp milkweed;Wet to Moist;Full Sun;August,July;Pollinators,Butterflies;Fragrant,Rain Garden,East-Coast Native,Cut Flower,Bog,Naturalizing; ;Green; ;Medium; ; ;
Aster laevis;2-3 ft;2-4 ft;24-36 in;4-8;Blue;Smooth blue aster;Moist;Full Sun to Partial Shade;October,September,August;Butterflies;Naturalizing,East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil; ;Green;Medium;Medium;Spring,Fall,Summer; ;
Aster macrophyllus 'Twilight';30-36 in;30-36 in;36 in;3-9;Lavender-Blue;Twilight big leaf aster;Moist to Dry;Partial Sun;September,August;Butterflies,Pollinators; ; ;Maroon,Green;Fast;Medium;Fall,Summer,Spring; ;
Aster novae-angliae;3-6 ft;2-3 ft;4-6 ft;3-8;Violet;New England aster;Moist to Wet;Full Sun to Partial Shade;September,August,October;Butterflies;Naturalizing,East-Coast Native,Rain Garden,Cut Flower,Clay Soil; ;Green;Fast;Medium;Summer,Spring,Fall; ;
Aster novae-angliae 'Purple Dome';2 ft;2-3 ft; ;3-8;Violet;New England aster;Moist;Full Sun to Partial Shade;October,September,August;Butterflies;Cut Flower;Deer Resistant;Green; ;Medium; ; ;
Aster umbellatus;2-5 ft;2-4 ft;3-6 ft;3-8;White;Flat topped white aster;Wet to Moist;Full Sun to Partial Shade;September,August;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Cut Flower,Clay Soil,Rain Garden,Bog; ;Green;Fast;Medium;Spring,Summer; ;
Blephilia ciliata;1-2 ft;1-2 ft;2-3 ft;4-8;Pink;Downy wood mint;Moist to Dry;Full Sun to Partial Shade;June,August,July;Butterflies,Pollinators;Naturalizing,Interesting Foliage,Favorite,Rain Garden,Drought Tolerant; ;Green;Medium; ;Spring,Summer; ;
Boltonia asteroides;3-5 ft;2-4 ft;4-6 ft;3-9;White;Thousand-flowered aster;Wet to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators;Long Blooming,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Calamagrostis x acutiflora 'Karl Foerster';3-5 ft;1-3 ft; ;5-9;Purple;Feather reed grass;Moist to Wet;Full Sun;August,July,June,May,October,September;Songbirds;Clay Soil; ;Green; ; ;Summer,Spring,Winter,Fall; ;
Caltha palustris;1 ft;1-2 ft;18-24 in;3-7;Yellow;Marsh marigold;Wet to Moist;Full Sun to Full Shade;June,May,April;Butterflies,Pollinators;East-Coast Native,Drought Tolerant,Rain Garden,Coastal,Clay Soil,Bog,Naturalizing;Deer Resistant;Green;Medium;High;Summer,Spring; ;
Campanula glomerata 'Superba';18-30 in;12-24 in;18-24 in;2 - 9;Purple, Purple Blue;Superba clustered bellflower;Moist;Full Sun to Partial Shade;July,June;Pollinators,Hummingbirds,Butterflies;Cut Flower;Deer Resistant;Green; ; ;Summer,Spring; ;
Carex amphibola;12-18 in;12-18 in;15-24 in;3-9;Green;Creek sedge;Moist to Wet;Partial Shade to Full Shade;March,June,May,April; ; ; ;Green; ; ; ; ;
Carex blanda;2 ft;2 ft;3 ft;3-9;Green;Common Wood Sedge;Moist to Dry;Full Shade to Full Sun;May;Butterflies,Songbirds,Pollinators;East-Coast Native,Clay Soil,Bog,Rain Garden; ;Green;Fast; ;Summer,Spring,Winter,Fall; ;
Carex cherokeensis;12-18 in;1 ft;12-18 in;6-9;Green;Cherokee sedge;Wet to Moist;Full Sun to Full Shade;June,May,April;Pollinators,Songbirds; ;Deer Resistant; ; ; ; ; ;
Carex elata;12-30 in;12-30 in;24 in;4 - 9;Tan;Tufted sedge;Wet to Moist;Full Sun to Partial Shade;June,May;Pollinators,Songbirds;Dried Flower,Bog,Rain Garden;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Carex flacca 'Blue Zinger';1-2 ft;1-2 ft;2-3 ft;5-9;Gold, Green;Blue Zinger Sedge;Moist/Well-Drained;Partial Shade,Shade;August,July;Songbirds,Pollinators;Clay Soil,Bog,Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Drought Tolerant;Deer Resistant;Blue;Medium; ;Summer,Spring,Winter,Fall; ;
Carex flaccosperma;1 ft;1 ft;18-24 in;5-8;Blue;Blue wood sedge;Moist to Dry;Full Sun to Full Shade;June;Pollinators;Naturalizing,Rain Garden,Ground Cover,East-Coast Native,Clay Soil,Bog;Deer Resistant;Blue; ; ; ; ;
Carex lurida;3 ft;1-2 ft; ;2-9;Green, Tan;Lurid sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ;Deer Resistant; ; ; ; ; ;
Carex morrowii 'Ice Dance';9-12 Inches;9-12 Inches;12 in;5-9;Green, White;Ice Dance Japanese Sedge;Moist to Wet;Partial Shade to Full Shade;April,July,June,May;Pollinators;Rain Garden,Ground Cover,Interesting Foliage,Evergreen,Container,Bog;Deer Resistant;Silver;Medium; ;Fall,Summer,Spring,Winter; ;
Carex morrowii 'Silver Sceptre';8-12 in;8-12 in;12-18 in;5 - 9;Tan;Silver Sceptre sedge;Moist to Wet;Partial Shade to Full Shade;May;Pollinators;Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Clay Soil,Bog;Deer Resistant;White/Cream Variegation;Medium; ;Spring,Winter,Fall,Summer; ;
Carex muskingumensis;2-3 ft;2-3 ft;12-18 in;4-7;Green, Tan;Palm sedge;Moist to Wet;Full Sun to Partial Shade;July; ;Drought Tolerant,Naturalizing;Deer Resistant; ; ; ; ; ;
Carex muskingumensis 'Little Midge';8-10 inches;10-18 inches;12-18 in;3-9;Green, Tan;Little Midge Palm sedge;Moist to Wet;Full Sun to Partial Shade;July;Butterflies,Songbirds,Pollinators;Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Fast; ;Winter,Fall,Summer,Spring; ;
Carex oshimensis 'Evergold';9-12 Inches;12-18 Inches;18-24 in;5-8;Gold, Green;Evergold Sedge;Moist,Moist to Wet,Wet;Partial Shade to Full Shade;May;Pollinators;Rain Garden,Evergreen,Container,Clay Soil,Bog,Ground Cover,Interesting Foliage;Deer Resistant;Gold/Yellow Variegation;Medium; ;Fall,Summer,Spring,Winter; ;
Carex remota;18-24 inches;18-24 inches;24-36 inches;5-9;Green;Remote Sedge;Moist;Partial Shade;May,April;Songbirds,Pollinators,Butterflies;Rain Garden,Evergreen,Clay Soil,Ground Cover,Interesting Foliage;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Carex socialis;1-2 ft;1-2 ft;24-36 in;5-9;Green;Social sedge, low woodland sedge;Wet to Moist,Wet,Moist;Partial Shade;June; ;Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Clay Soil;Deer Resistant;Green;Medium; ;Spring,Fall,Summer; ;
