Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Andropogon gerardii;5-7 ft;2-3 ft; ;3-8;Green, Tan;Big bluestem;Moist to Dry;Full Sun;August; ;Drought Tolerant,Dried Flower;Deer Resistant;Blue-Green; ;Medium; ; ;
Andropogon virginicus;2-3 ft;2-3 ft;36-48 in;5-8;Green, Tan;Broom sedge;Moist to Dry;Full Sun;September; ;Naturalizing; ; ; ;High; ; ;
Bouteloua curtipendula;1-3 ft;2 ft;3-4 ft;3-9;Green, Tan;Sideoats grama;Dry;Full Sun;July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant; ; ;Medium; ; ;
Bouteloua gracilis;9-24 Inches;18-24 Inches;18 in;3-10;Blue Green, Tan;Blue Grama;Dry;Full Sun to Partial Shade;June,August,July;Songbirds;Ground Cover,Drought Tolerant,Dried Flower,Cut Flower;Deer Resistant;Blue-Green;Medium; ;Fall,Summer,Spring,Winter;Hydrocarbons;
Calamagrostis brachytricha;2 ft;2 ft;3 ft;4-9;Pink;Korean Feather Reed Grass;Moist to Wet;Full Sun;November,October,September;Pollinators;Rain Garden,Interesting Foliage,Bog; ;Burgundy Variegation; ; ;Fall,Summer,Spring,Winter; ;
Calamagrostis x acutiflora 'Karl Foerster';3-5 ft;1-3 ft; ;5-9;Purple;Feather reed grass;Moist to Wet;Full Sun;August,July,June,May,October,September;Songbirds;Clay Soil; ;Green; ; ;Summer,Spring,Winter,Fall; ;
Carex albicans;15-20 Inches;15-20 in;12-18 in;4-8;Green;White-tinged sedge;Moist to Dry;Partial Shade to Full Shade;May;Pollinators,Songbirds;Ground Cover; ;Green; ; ; ; ;
Carex amphibola;12-18 in;12-18 in;15-24 in;3-9;Green;Creek sedge;Moist to Wet;Partial Shade to Full Shade;March,June,May,April; ; ; ;Green; ; ; ; ;
Carex appalachica;6 Inches;12-18 in;18-24 in;3-7;Green;Appalachian sedge;Dry;Full Sun,Shade,Partial Shade;May; ;Rock Garden,Ground Cover;Deer Resistant; ; ; ; ; ;
Carex bicknellii;1-3 Feet;1-3 ft;2-6 ft;3-7;Green;Prairie sedge;Moist to Dry;Full Sun to Full Shade;May; ;Rain Garden; ;Green; ; ; ; ;
Carex blanda;2 ft;2 ft;3 ft;3-9;Green;Common Wood Sedge;Moist to Dry;Full Shade to Full Sun;May;Butterflies,Songbirds,Pollinators;East-Coast Native,Clay Soil,Bog,Rain Garden; ;Green;Fast; ;Summer,Spring,Winter,Fall; ;
Carex brevior;12 in;12 in;18-24 in;3-8;Green;Plains oval sedge;Moist to Dry;Full Sun to Partial Shade;May,April; ;Drought Tolerant,Rain Garden,Naturalizing,Ground Cover,Evergreen,East-Coast Native; ;Green; ; ; ; ;
Carex bromoides;1 ft;12-18 Inches;1-2 ft;4-8;Green, Tan;Brome-like sedge;Moist to Wet;Full Sun to Partial Shade;July,June,May;Pollinators,Songbirds;Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Clay Soil,Bog;Deer Resistant;Green;Fast; ;Spring; ;
Carex cherokeensis;12-18 in;1 ft;12-18 in;6-9;Green;Cherokee sedge;Wet to Moist;Full Sun to Full Shade;June,May,April;Pollinators,Songbirds; ;Deer Resistant; ; ; ; ; ;
Carex comosa;2-3 Feet;18-36 in;18-24 in;4-8;Brown, Green;Bristly sedge, Longhair sedge;Wet to Moist;Full Sun to Partial Shade;July,August; ; ; ; ; ; ; ; ;
Carex crinita;3-4 ft;3-4 ft;6-8 ft;3-9;Blue, Green;Fringed sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ; ;Blue-Green; ; ; ; ;
Carex divulsa;1-3 ft;1-3 ft;18-24 in;4-9;Green;grassland sedge;Moist/Well-Drained;Full Sun to Partial Shade;June,May;Songbirds,Pollinators;Rock Garden,Ground Cover,Evergreen,Drought Tolerant; ;Green;Medium; ;Winter,Fall,Summer,Spring; ;
Carex elata;12-30 in;12-30 in;24 in;4 - 9;Tan;Tufted sedge;Wet to Moist;Full Sun to Partial Shade;June,May;Pollinators,Songbirds;Dried Flower,Bog,Rain Garden;Deer Resistant;Green;Medium; ;Fall,Summer,Spring; ;
Carex flacca 'Blue Zinger';1-2 ft;1-2 ft;2-3 ft;5-9;Gold, Green;Blue Zinger Sedge;Moist/Well-Drained;Partial Shade,Shade;August,July;Songbirds,Pollinators;Clay Soil,Bog,Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Drought Tolerant;Deer Resistant;Blue;Medium; ;Summer,Spring,Winter,Fall; ;
Carex flaccosperma;1 ft;1 ft;18-24 in;5-8;Blue;Blue wood sedge;Moist to Dry;Full Sun to Full Shade;June;Pollinators;Naturalizing,Rain Garden,Ground Cover,East-Coast Native,Clay Soil,Bog;Deer Resistant;Blue; ; ; ; ;
Carex grayi;2-3 ft;1-2 ft; ;5 to 9;Silver;Bur sedge, Grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Rain Garden,Cut Flower,Dried Flower;Deer Resistant;Green; ; ; ; ;
Carex grayi 'New Moon Mighty';3-4 ft;1-2 ft; ;5-9;Green;New Moon Mighty grays sedge;Moist to Wet;Full Sun to Partial Shade;September,August,July,June,May,October;Pollinators,Songbirds;Long Blooming,Ground Cover,Dried Flower,Rain Garden,Cut Flower,Bog,Reblooming,Naturalizing;Deer Resistant;Green; ; ;Fall,Summer,Spring; ;
Carex humilis 'Hexe';6 in;16 in;10-12 in;4 - 8;Yellow;Hexe dwarf sedge;Dry;Partial Shade;May,April;Songbirds,Pollinators;Naturalizing,Ground Cover,Drought Tolerant,Rock Garden; ;Green;Slow; ;Summer,Spring,Fall; ;
Carex laxiculmis;1 ft; ; ;4-7;White, Yellow;Creeping sedge;Moist;Full Shade to Partial Shade;July,June,May,April; ;Ground Cover;Deer Resistant;Blue-Green; ; ; ; ;
Carex leavenworthii;6-12 in;6-12 Inches;12-18 in;6-9; ;Lawn Sedge;Moist;Full Shade to Full Sun;April;Songbirds,Pollinators,Butterflies;Interesting Foliage,Evergreen,Drought Tolerant,Naturalizing,Ground Cover;Deer Resistant;Green;Fast; ;Fall,Summer,Spring,Winter; ;
Carex lurida;3 ft;1-2 ft; ;2-9;Green, Tan;Lurid sedge;Wet to Moist;Partial Shade to Full Sun;June; ; ;Deer Resistant; ; ; ; ; ;
Carex montana;6 in;1 ft;1 ft;4-10;Tan;Mountain sedge;Dry;Partial Shade;March,April;Pollinators;Rock Garden,Ground Cover,Drought Tolerant;Deer Resistant; ;Fast;High;Fall,Summer,Spring; ;
Carex morrowii 'Ice Dance';9-12 Inches;9-12 Inches;12 in;5-9;Green, White;Ice Dance Japanese Sedge;Moist to Wet;Partial Shade to Full Shade;April,July,June,May;Pollinators;Rain Garden,Ground Cover,Interesting Foliage,Evergreen,Container,Bog;Deer Resistant;Silver;Medium; ;Fall,Summer,Spring,Winter; ;
Carex morrowii 'Silver Sceptre';8-12 in;8-12 in;12-18 in;5 - 9;Tan;Silver Sceptre sedge;Moist to Wet;Partial Shade to Full Shade;May;Pollinators;Ground Cover,Interesting Foliage,Rain Garden,Evergreen,Clay Soil,Bog;Deer Resistant;White/Cream Variegation;Medium; ;Spring,Winter,Fall,Summer; ;
Carex muskingumensis;2-3 ft;2-3 ft;12-18 in;4-7;Green, Tan;Palm sedge;Moist to Wet;Full Sun to Partial Shade;July; ;Drought Tolerant,Naturalizing;Deer Resistant; ; ; ; ; ;
Carex muskingumensis 'Little Midge';8-10 inches;10-18 inches;12-18 in;3-9;Green, Tan;Little Midge Palm sedge;Moist to Wet;Full Sun to Partial Shade;July;Butterflies,Songbirds,Pollinators;Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Fast; ;Winter,Fall,Summer,Spring; ;
Carex oshimensis 'Evergold';9-12 Inches;12-18 Inches;18-24 in;5-8;Gold, Green;Evergold Sedge;Moist,Moist to Wet,Wet;Partial Shade to Full Shade;May;Pollinators;Rain Garden,Evergreen,Container,Clay Soil,Bog,Ground Cover,Interesting Foliage;Deer Resistant;Gold/Yellow Variegation;Medium; ;Fall,Summer,Spring,Winter; ;
Carex pensylvanica;16 in;1 ft;6-10 in;3-8;Green, Tan;Pennsylvania sedge;Moist to Dry;Full Shade to Partial Shade;May; ;Ground Cover,Naturalizing;Deer Resistant; ;Medium; ; ; ;
Carex plantaginea;6-12 in;10-12 in;12-24 in;4-8;Green;Seersucker sedge;Moist;Partial Shade to Full Shade;May; ;Rock Garden,Ground Cover; ; ; ; ; ; ;
Carex radiata;1-2 ft;1-2 ft;1-2 ft;4-8;Green;Eastern star sedge;Moist;Partial Shade;June,May;Songbirds;Ground Cover,East-Coast Native,Rain Garden,Drought Tolerant,Clay Soil;Deer Resistant;Green;Medium; ;Winter,Fall,Summer,Spring; ;
Carex remota;18-24 inches;18-24 inches;24-36 inches;5-9;Green;Remote Sedge;Moist;Partial Shade;May,April;Songbirds,Pollinators,Butterflies;Rain Garden,Evergreen,Clay Soil,Ground Cover,Interesting Foliage;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
Carex rosea;1 ft;1 ft;18-24 in;4-8;Green;Rosy sedge, Curly wood sedge;Dry,Wet;Full Sun to Partial Shade;September,August,July,June,May,October; ;Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Bog,Naturalizing,Rain Garden,Ground Cover;Deer Resistant;Green;Medium; ; ; ;
Carex socialis;1-2 ft;1-2 ft;24-36 in;5-9;Green;Social sedge, low woodland sedge;Wet to Moist,Wet,Moist;Partial Shade;June; ;Naturalizing,Ground Cover,East-Coast Native,Rain Garden,Clay Soil;Deer Resistant;Green;Medium; ;Spring,Fall,Summer; ;
Carex sprengelii;1-3 ft;2 ft;2-3 ft;3-5;Brown, Green;Long Beaked Sedge;Moist to Wet;Full Sun to Partial Shade;August,July;Songbirds;Rain Garden,Naturalizing,Ground Cover,East-Coast Native,Bog;Deer Resistant;Green;Medium; ; ; ;
Carex stricta;3-4 ft;1-2 ft; ;5-8;Green, Tan;Tussock sedge;Wet to Moist;Partial Shade to Full Sun;June; ;Bog,Naturalizing,Evergreen;Deer Resistant; ; ; ; ; ;
Carex texensis;6 Inches;1 ft;18-24 in;5-9;Green;Catlin sedge;Dry,Dry to Moist,Moist;Full Sun to Full Shade;May; ;Ground Cover,Interesting Foliage,Evergreen,East-Coast Native,Drought Tolerant,Naturalizing;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Carex vulpinoidea;2-4 ft;2-4 ft;3-4 ft;3-9;Green, Tan;Fox sedge;Wet to Moist;Partial Shade to Full Sun;June;Pollinators,Songbirds;Naturalizing;Deer Resistant;Green; ; ;Spring; ;
Carex woodii;6-12 Inches;6-12 Inches;12-18 in;4-6;Burgundy, Green;Pretty sedge, wood's sedge;Dry to Moist;Partial Shade to Full Shade;April,May;Pollinators;Naturalizing,Ground Cover,East-Coast Native,Drought Tolerant,Clay Soil;Deer Resistant;Green;Medium; ;Fall,Summer,Spring,Winter; ;
